date,direction,bo_minutes,trigger_minutes,trigger_rank,depth_at_trigger,dr_size,entry,dist_to_extreme_pts,leg_risk_pts,leg_stopped_first,leg_mfe_r,leg_hit_old_extreme,leg_r_old_extreme,leg_hit_ext_025,leg_r_ext_025,leg_hit_ext_05,leg_r_ext_05,trig_risk_pts,trig_stopped_first,trig_mfe_r,trig_hit_old_extreme,trig_r_old_extreme,trig_hit_ext_025,trig_r_ext_025,trig_hit_ext_05,trig_r_ext_05,depth_b
2021-05-06,up,60,110,2,0.19828815977175462,175.25,13554.0,10.0,24.75,True,1.505050505050505,True,0.40404040404040403,False,-1.0,False,-1.0,11.5,True,3.239130434782609,True,0.8695652173913043,False,-1.0,False,-1.0,<25%
2021-05-06,up,60,140,3,0.16790123456790124,202.5,13573.25,18.0,16.0,True,0.09375,False,-1.0,False,-1.0,False,-1.0,8.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-06,up,60,230,4,0.5469135802469136,202.5,13517.25,74.0,36.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,25.75,True,0.0,False,-1.0,False,-1.0,False,-1.0,50-75%
2021-05-06,up,60,255,5,0.6172839506172839,202.5,13489.25,102.0,23.0,False,4.978260869565218,True,4.434782608695652,False,4.663043478260869,False,4.663043478260869,17.0,False,6.735294117647059,True,6.0,False,6.3088235294117645,False,6.3088235294117645,50-75%
2021-05-10,down,0,115,1,0.4400977995110024,204.5,13519.25,66.0,24.0,False,6.947916666666667,True,2.75,True,4.880208333333333,False,6.791666666666667,24.0,False,6.947916666666667,True,2.75,True,4.880208333333333,False,6.791666666666667,25-50%
2021-05-10,down,0,215,2,0.09540229885057472,217.5,13447.0,6.75,14.0,False,6.75,True,0.48214285714285715,True,4.366071428571429,False,6.482142857142857,14.0,False,6.75,True,0.48214285714285715,True,4.366071428571429,False,6.482142857142857,<25%
2021-05-10,down,0,230,3,0.07088122605363985,261.0,13404.5,7.75,10.75,False,4.837209302325581,True,0.7209302325581395,False,4.488372093023256,False,4.488372093023256,10.75,False,4.837209302325581,True,0.7209302325581395,False,4.488372093023256,False,4.488372093023256,<25%
2021-05-10,down,0,250,4,0.12791702679343128,289.25,13381.5,13.0,24.0,True,0.8229166666666666,True,0.5416666666666666,False,-1.0,False,-1.0,17.25,True,1.144927536231884,True,0.7536231884057971,False,-1.0,False,-1.0,<25%
2021-05-11,up,50,100,1,0.08678500986193294,253.5,13325.5,12.75,9.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,9.25,True,0.0,False,-1.0,False,-1.0,False,-1.0,<25%
2021-05-11,up,50,150,2,0.35952848722986247,254.5,13303.75,35.5,56.0,False,1.2857142857142858,True,0.6339285714285714,False,0.71875,False,0.71875,36.25,False,1.986206896551724,True,0.9793103448275862,False,1.110344827586207,False,1.110344827586207,25-50%
