date,side,raid_type,raid_minutes,entry_minutes,raid_depth_r,leg_bars,leg_size,leg_size_r,entry,stop,risk_pts,entry_inside_ib,entry_proj,stopped,max_proj,minutes_to_1x
2021-11-08,long,close_through,10,35,0.19218241042345277,2,26.25,0.34201954397394135,16342.75,16302.5,40.25,True,1.0285714285714285,False,2.580952380952381,5.0
2021-11-09,long,close_through,95,225,0.14585908529048208,4,40.25,0.19901112484548825,16211.0,16160.0,51.0,True,1.1801242236024845,False,1.7329192546583851,5.0
2021-11-10,long,close_through,165,175,0.08507670850767085,1,7.5,0.04184100418410042,16053.0,16026.5,26.5,True,1.5666666666666667,True,4.533333333333333,5.0
2021-11-11,long,sweep,0,5,0.039711191335740074,1,1.0,0.01444043321299639,16062.0,16038.5,23.5,True,14.0,True,49.0,5.0
2021-11-12,short,close_through,15,145,1.6,1,21.5,0.2819672131147541,16174.0,16200.0,26.0,False,1.1162790697674418,True,1.9534883720930232,5.0
2021-11-15,long,sweep,0,15,0.12239583333333333,1,10.5,0.109375,16172.75,16146.5,26.25,True,1.1904761904761905,True,3.2142857142857144,5.0
2021-11-16,short,close_through,40,70,0.44469525959367945,2,5.75,0.05191873589164785,16285.0,16309.25,24.25,False,2.652173913043478,True,3.9130434782608696,5.0
2021-11-17,short,close_through,5,105,1.219298245614035,7,48.25,0.8464912280701754,16336.75,16396.5,59.75,False,1.077720207253886,False,2.082901554404145,5.0
2021-11-18,short,close_through,60,130,0.5872340425531914,2,17.0,0.14468085106382977,16468.75,16490.0,21.25,False,1.0735294117647058,True,4.764705882352941,5.0
2021-11-19,short,close_through,65,80,0.09181141439205956,1,15.5,0.15384615384615385,16602.25,16626.25,24.0,True,1.0161290322580645,True,1.4838709677419355,5.0
2021-11-23,long,close_through,0,45,0.5274725274725275,2,58.75,0.3228021978021978,16231.75,16140.75,91.0,False,1.102127659574468,True,1.7446808510638299,5.0
2021-11-24,short,close_through,0,15,0.08360128617363344,1,23.5,0.15112540192926044,16233.5,16270.5,37.0,True,1.297872340425532,True,2.3404255319148937,5.0
2021-11-29,short,close_through,55,140,0.8794326241134752,1,3.75,0.03546099290780142,16387.25,16407.25,20.0,False,3.6666666666666665,True,4.066666666666666,5.0
2021-11-30,long,close_through,15,105,1.8233151183970857,2,40.5,0.29508196721311475,16125.75,16068.75,57.0,False,1.0740740740740742,False,3.5123456790123457,5.0
2021-12-01,short,close_through,40,85,0.4672897196261682,3,64.5,0.602803738317757,16337.0,16427.5,90.5,True,1.3333333333333333,False,8.751937984496124,5.0
2021-12-02,short,close_through,110,140,0.14360587002096437,2,39.5,0.16561844863731656,16000.5,16061.25,60.75,True,1.240506329113924,True,3.2151898734177213,5.0
2021-12-02,long,close_through,10,35,0.10796645702306079,3,135.0,0.5660377358490566,15939.25,15762.75,176.5,True,1.2203703703703703,False,2.161111111111111,5.0
2021-12-03,long,close_through,5,55,0.2937062937062937,3,54.25,0.15174825174825174,15708.5,15628.0,80.5,False,1.23963133640553,True,1.4654377880184333,5.0
