date,direction,bo_minutes,trigger_minutes,depth_at_trigger,dr_size,leg_bars,entry,stop,risk_pts,risk_dr,dist_to_extreme_r,mfe_r,stopped_first,hit_old_extreme,hit_ext_025,hit_ext_05,r_old_extreme,r_ext_025,r_ext_05
2024-07-30,down,0,15,0.2511737089201878,213.0,1,19129.5,19160.25,30.75,0.1443661971830986,0.7398373983739838,10.617886178861788,False,True,True,True,0.7398373983739838,2.4715447154471546,4.203252032520325
2024-07-31,up,0,55,0.451568894952251,183.25,3,19490.5,19411.25,79.25,0.4324693042291951,0.04416403785488959,0.3217665615141956,True,True,False,False,0.04416403785488959,-1.0,-1.0
2024-08-06,up,10,75,0.42361574382921946,374.75,1,18309.5,18182.0,127.5,0.3402268178785857,0.24509803921568626,1.3627450980392157,True,True,True,False,0.24509803921568626,0.9799019607843137,-1.0
2024-08-07,down,70,130,0.4474393530997305,278.25,1,18321.75,18404.75,83.0,0.29829290206648695,0.5,4.457831325301205,False,True,True,True,0.5,1.3381024096385543,2.1762048192771086
2024-08-08,up,15,90,0.30702341137123745,373.75,4,18433.5,18323.25,110.25,0.29498327759197324,0.04081632653061224,1.1043083900226758,False,True,True,False,0.04081632653061224,0.8883219954648526,0.7777777777777778
2024-08-09,up,160,245,0.41203703703703703,270.0,1,18596.75,18563.25,33.5,0.12407407407407407,2.3208955223880596,1.1044776119402986,False,False,False,False,0.3880597014925373,0.3880597014925373,0.3880597014925373
2024-08-13,up,15,245,0.29861751152073734,271.25,1,19081.25,19006.5,74.75,0.27557603686635945,0.08361204013377926,0.4180602006688963,False,True,False,False,0.08361204013377926,0.26755852842809363,0.26755852842809363
2024-08-15,up,5,40,0.26330532212885155,178.5,3,19511.25,19467.75,43.5,0.24369747899159663,0.08045977011494253,2.1149425287356323,False,True,True,False,0.08045977011494253,1.1063218390804597,1.7471264367816093
2024-08-22,down,15,40,0.35724743777452417,170.75,1,19873.5,19915.5,42.0,0.24597364568081992,0.4523809523809524,7.892857142857143,False,True,True,True,0.4523809523809524,1.46875,2.4851190476190474
2024-08-26,down,0,60,0.4341216216216216,296.0,1,19603.5,19634.0,30.5,0.10304054054054054,3.2131147540983607,2.0245901639344264,True,False,False,False,-1.0,-1.0,-1.0
2024-08-27,up,0,200,0.4609297725024728,252.75,5,19684.5,19577.75,106.75,0.42235410484668645,0.09133489461358314,0.07728337236533958,False,False,False,False,-0.3114754098360656,-0.3114754098360656,-0.3114754098360656
2024-08-28,down,10,110,0.3207249802994484,317.25,4,19378.75,19441.0,62.25,0.19621749408983452,0.6345381526104418,0.01606425702811245,True,False,False,False,-1.0,-1.0,-1.0
2024-08-29,down,240,270,0.2553342816500711,351.5,2,19381.0,19431.75,50.75,0.14438122332859174,0.7684729064039408,0.8669950738916257,True,True,False,False,0.7684729064039408,-1.0,-1.0
2024-08-30,down,25,45,0.3193504736129905,184.75,2,19466.5,19503.0,36.5,0.1975642760487145,0.6164383561643836,2.6301369863013697,True,True,True,False,0.6164383561643836,1.8818493150684932,-1.0
