date,slot,o,h,l,c,range,body_ratio,close_dist,exp_ratio,med20,rel_range,broke,break_dir,reverted,reverted_first,max_ext,max_retrace,ctype,body_ratio_b,rel_range_b,close_dist_b,exp_ratio_b
2024-09-06,7,18738.75,18787.5,18738.75,18782.75,48.75,0.9025641025641026,0.8051282051282052,1.1538461538461537,47.25,1.0317460317460319,True,up,True,False,3.7897435897435896,1.3846153846153846,mixed,high,mid,high,mid
2024-09-09,7,18607.0,18639.0,18587.0,18596.5,52.0,0.20192307692307693,0.6346153846153846,1.0612244897959184,46.0,1.1304347826086956,True,down,True,True,0.41346153846153844,2.1009615384615383,mixed,low,mid,mid,mid
2024-09-10,7,18650.25,18706.0,18650.0,18697.25,56.0,0.8392857142857143,0.6875,0.8682170542635659,50.0,1.12,True,up,False,False,2.0669642857142856,0.11160714285714286,mixed,high,mid,high,low
2024-09-11,7,18803.5,18840.5,18792.75,18834.75,47.75,0.6544502617801047,0.7591623036649214,1.7363636363636363,50.0,0.955,True,up,True,True,1.8219895287958114,2.303664921465969,mixed,high,mid,high,high
2024-09-12,7,19287.75,19303.75,19272.75,19299.5,31.0,0.3790322580645161,0.7258064516129032,1.0973451327433628,50.0,0.62,True,up,True,True,0.8306451612903226,3.8306451612903225,consolidation,mid,low,high,mid
2024-09-13,7,19469.75,19470.75,19439.25,19453.5,31.5,0.5158730158730159,0.09523809523809523,1.6153846153846154,48.25,0.6528497409326425,True,down,True,False,1.3015873015873016,1.9761904761904763,mixed,mid,low,low,high
2024-09-16,7,19731.75,19733.5,19680.25,19691.5,53.25,0.755868544600939,0.5774647887323944,1.0597014925373134,45.5,1.1703296703296704,True,down,False,False,2.2347417840375585,0.323943661971831,mixed,high,mid,mid,mid
2024-09-17,7,19753.25,19802.25,19740.0,19793.0,62.25,0.6385542168674698,0.7028112449799196,1.6938775510204083,48.25,1.2901554404145077,True,up,True,True,0.42570281124497994,1.497991967871486,expansion,high,high,high,high
2024-09-18,7,19712.75,19729.25,19700.75,19702.25,28.5,0.3684210526315789,0.8947368421052632,1.7272727272727273,50.375,0.56575682382134,True,down,True,False,1.1842105263157894,1.2543859649122806,consolidation,mid,low,high,high
2024-09-19,7,19995.5,20018.5,19978.0,20009.75,40.5,0.35185185185185186,0.5679012345679012,1.0657894736842106,50.375,0.8039702233250621,True,up,True,True,1.345679012345679,1.345679012345679,consolidation,mid,low,mid,mid
2024-09-20,7,19992.25,20020.25,19982.25,20018.0,38.0,0.6776315789473685,0.881578947368421,0.9382716049382716,50.375,0.7543424317617866,True,up,True,False,1.638157894736842,0.7631578947368421,mixed,high,low,high,mid
2024-09-23,7,20071.5,20084.0,20044.5,20078.75,39.5,0.18354430379746836,0.7341772151898734,1.9506172839506173,50.375,0.7841191066997518,True,up,True,True,0.5316455696202531,1.3354430379746836,consolidation,low,low,high,high
2024-09-24,7,20116.25,20126.75,20050.75,20105.75,76.0,0.13815789473684212,0.4473684210526316,1.7988165680473374,48.25,1.5751295336787565,True,up,True,True,0.35855263157894735,0.5888157894736842,mixed,low,high,mid,high
2024-09-25,7,20131.5,20141.5,20121.0,20141.0,20.5,0.4634146341463415,0.9512195121951219,0.7387387387387387,48.25,0.42487046632124353,True,up,True,True,4.512195121951219,0.8048780487804879,consolidation,mid,low,high,low
2024-09-26,7,20497.5,20504.75,20476.75,20484.25,28.0,0.4732142857142857,0.4642857142857143,0.7466666666666667,45.5,0.6153846153846154,True,down,True,False,2.5625,2.1875,consolidation,mid,low,mid,low
2024-09-27,7,20292.75,20346.25,20292.5,20345.75,53.75,0.986046511627907,0.9813953488372092,1.3109756097560976,41.875,1.2835820895522387,True,up,True,False,0.9209302325581395,0.6651162790697674,expansion,high,high,high,high
2024-09-30,7,20196.0,20198.5,20119.5,20130.0,79.0,0.8354430379746836,0.7341772151898734,2.179310344827586,45.5,1.7362637362637363,True,up,False,False,0.810126582278481,0.37658227848101267,expansion,high,high,high,high
2024-10-01,7,20314.25,20324.75,20256.75,20272.75,68.0,0.6102941176470589,0.5294117647058824,1.4166666666666667,48.25,1.4093264248704662,True,down,False,False,4.091911764705882,0.34191176470588236,expansion,high,high,mid,high
2024-10-02,7,19959.5,19975.75,19924.25,19933.5,51.5,0.5048543689320388,0.6407766990291263,0.5522788203753352,48.25,1.067357512953368,True,up,True,False,0.6796116504854369,2.762135922330097,mixed,mid,mid,mid,low
2024-10-03,7,19946.5,19977.5,19929.5,19977.5,48.0,0.6458333333333334,1.0,1.103448275862069,50.125,0.9576059850374065,True,up,True,True,1.4739583333333333,1.7239583333333333,mixed,high,mid,high,mid
2024-10-04,7,20051.25,20085.5,20043.25,20062.75,42.25,0.27218934911242604,0.07692307692307693,1.0368098159509203,48.375,0.8733850129198967,True,up,True,True,4.218934911242603,0.5088757396449705,mixed,low,mid,low,mid
2024-10-07,7,20101.0,20118.0,20080.0,20111.0,38.0,0.2631578947368421,0.631578947368421,1.2773109243697478,47.875,0.793733681462141,True,up,True,False,1.2039473684210527,0.7763157894736842,consolidation,low,low,mid,mid
2024-10-08,7,20088.75,20101.0,20069.5,20093.75,31.5,0.15873015873015872,0.5396825396825397,0.7777777777777778,45.0,0.7,True,up,True,True,1.8095238095238095,1.4206349206349207,consolidation,low,low,mid,low
2024-10-09,7,20280.5,20291.5,20254.0,20256.75,37.5,0.6333333333333333,0.8533333333333334,0.9868421052631579,41.375,0.9063444108761329,True,down,True,True,0.41333333333333333,1.2466666666666666,mixed,high,mid,high,mid
2024-10-10,7,20409.0,20439.75,20401.25,20437.25,38.5,0.7337662337662337,0.8701298701298701,1.4666666666666666,40.0,0.9625,True,up,True,True,1.0064935064935066,3.590909090909091,mixed,high,mid,high,high
2024-10-11,7,20381.5,20386.75,20363.5,20367.5,23.25,0.6021505376344086,0.6559139784946236,0.7622950819672131,40.0,0.58125,True,up,True,False,1.2688172043010753,3.096774193548387,mixed,high,low,mid,low
2024-10-14,7,20511.0,20518.0,20497.75,20506.75,20.25,0.20987654320987653,0.1111111111111111,0.5225806451612903,40.0,0.50625,True,up,False,False,7.567901234567901,0.1728395061728395,consolidation,low,low,low,low
2024-10-15,7,20608.5,20620.75,20594.0,20613.0,26.75,0.16822429906542055,0.4205607476635514,0.6184971098265896,39.0,0.6858974358974359,True,up,True,True,1.439252336448598,0.6261682242990654,consolidation,low,low,mid,low
2024-10-16,7,20365.5,20386.0,20356.75,20375.5,29.25,0.3418803418803419,0.28205128205128205,1.481012658227848,38.25,0.7647058823529411,True,down,True,False,4.837606837606837,0.7350427350427351,consolidation,mid,low,low,high
2024-10-17,7,20528.5,20528.75,20505.0,20518.0,23.75,0.4421052631578947,0.09473684210526316,0.48223350253807107,38.25,0.6209150326797386,True,up,True,True,2.778947368421053,5.3052631578947365,consolidation,mid,low,low,low
2024-10-18,7,20448.0,20479.75,20436.75,20468.25,43.0,0.47093023255813954,0.46511627906976744,1.34375,38.0,1.131578947368421,True,up,True,False,0.7209302325581395,1.0872093023255813,mixed,mid,mid,mid,high
2024-10-21,7,20371.5,20382.75,20343.75,20359.0,39.0,0.32051282051282054,0.21794871794871795,0.6290322580645161,38.25,1.0196078431372548,True,up,False,False,3.0705128205128207,0.22435897435897437,mixed,mid,mid,low,low
2024-10-22,7,20397.25,20434.0,20397.25,20410.25,36.75,0.35374149659863946,0.2925170068027211,1.0352112676056338,38.25,0.9607843137254902,True,up,True,True,1.2380952380952381,2.006802721088435,mixed,mid,mid,low,mid
2024-10-23,7,20457.0,20484.75,20453.75,20471.25,31.0,0.4596774193548387,0.12903225806451613,0.8322147651006712,37.75,0.8211920529801324,True,up,True,True,0.31451612903225806,2.4838709677419355,mixed,mid,mid,low,low
2024-10-24,7,20378.75,20419.75,20370.25,20415.25,49.5,0.7373737373737373,0.8181818181818182,2.0,37.75,1.3112582781456954,True,up,True,True,0.17676767676767677,2.494949494949495,expansion,high,high,high,high
2024-10-25,7,20429.5,20457.0,20410.0,20445.5,47.0,0.3404255319148936,0.5106382978723404,2.611111111111111,38.25,1.2287581699346406,True,up,False,False,4.276595744680851,0.13297872340425532,mixed,mid,high,mid,high
2024-10-28,7,20632.5,20639.25,20610.25,20619.0,29.0,0.46551724137931033,0.39655172413793105,0.6105263157894737,38.25,0.7581699346405228,True,down,True,False,2.8189655172413794,1.9137931034482758,consolidation,mid,low,mid,low
2024-10-29,7,20513.25,20517.25,20482.25,20494.25,35.0,0.5428571428571428,0.3142857142857143,1.1666666666666667,37.75,0.9271523178807947,True,down,True,False,1.4285714285714286,1.2642857142857142,mixed,mid,mid,low,mid
2024-10-30,7,20734.5,20754.5,20712.5,20714.75,42.0,0.47023809523809523,0.8928571428571429,1.9764705882352942,37.125,1.1313131313131313,True,down,True,True,4.041666666666667,0.5238095238095238,mixed,mid,mid,high,high
2024-10-31,7,20341.0,20393.5,20340.75,20393.0,52.75,0.985781990521327,0.981042654028436,1.0343137254901962,37.125,1.4208754208754208,True,up,True,True,0.44549763033175355,4.601895734597156,expansion,high,high,high,mid
2024-11-01,7,20111.5,20131.75,20092.75,20107.75,39.0,0.09615384615384616,0.23076923076923078,1.2,37.125,1.0505050505050506,True,down,True,True,0.9038461538461539,2.128205128205128,mixed,low,mid,low,mid
2024-11-04,7,20181.5,20194.25,20100.75,20166.25,93.5,0.16310160427807488,0.40106951871657753,2.5972222222222223,37.125,2.5185185185185186,True,down,False,False,0.9385026737967914,0.43315508021390375,mixed,low,high,mid,high
2024-11-05,7,20154.0,20168.0,20125.75,20149.25,42.25,0.11242603550295859,0.11242603550295859,1.5089285714285714,37.125,1.138047138047138,True,down,True,True,0.4319526627218935,4.112426035502959,mixed,low,mid,low,high
2024-11-06,7,20608.5,20709.25,20599.25,20685.75,110.0,0.7022727272727273,0.5727272727272728,0.9843400447427293,38.0,2.8947368421052633,True,up,True,True,0.8727272727272727,0.5931818181818181,expansion,high,high,mid,mid
2024-11-07,7,20943.25,20977.5,20941.0,20967.5,36.5,0.6643835616438356,0.4520547945205479,1.6404494382022472,38.75,0.9419354838709677,True,up,True,False,3.643835616438356,0.5273972602739726,mixed,high,mid,mid,high
2024-11-08,7,21162.25,21189.0,21158.0,21183.25,31.0,0.6774193548387096,0.6290322580645161,0.6850828729281768,37.875,0.8184818481848185,True,up,True,True,1.3951612903225807,1.0564516129032258,mixed,high,mid,mid,low
2024-11-11,7,21286.25,21335.5,21285.25,21327.0,50.25,0.8109452736318408,0.6616915422885572,2.1847826086956523,37.875,1.3267326732673268,True,up,True,True,0.1044776119402985,3.4328358208955225,expansion,high,high,mid,high
2024-11-12,7,21177.75,21212.5,21176.25,21193.25,36.25,0.42758620689655175,0.06206896551724138,1.3679245283018868,39.0,0.9294871794871795,True,up,True,False,1.0827586206896551,0.8551724137931035,mixed,mid,mid,low,high
2024-11-13,7,21126.75,21155.75,21114.25,21132.25,41.5,0.13253012048192772,0.13253012048192772,1.296875,39.0,1.064102564102564,True,up,True,True,2.1144578313253013,0.8253012048192772,mixed,low,mid,low,high
2024-11-14,7,21177.5,21183.0,21152.75,21155.0,30.25,0.743801652892562,0.8512396694214877,1.4404761904761905,40.25,0.7515527950310559,True,down,True,True,2.9338842975206614,0.7933884297520661,mixed,high,low,high,high
