date,range_name,model,side,penetration_pts,penetration_atr,disp_ratio,range_width,rr1.3->mid,extreme->mid,proj25->mid,proj50->mid,rr1.3->opp,extreme->opp,proj25->opp,proj50->opp,extreme 50@q25/50@mid,extreme 50@mid/50@opp,extreme 50@1R/50@2R,proj25 50@q25/50@mid,proj25 50@mid/50@opp,proj25 50@1R/50@2R,proj50 50@q25/50@mid,proj50 50@mid/50@opp,proj50 50@1R/50@2R
2021-04-28,6am,retest,long,9.0,1.984251968503937,1.7391304347826089,15.75,-1.0,0.875,-1.0,1.0,1.299999999999985,1.75,-1.0,2.0,0.21875,0.4375,0.5,-1.0,-1.0,-1.0,0.25,0.5,0.5
2021-04-28,6am,failure,long,1.5,0.368421052631579,0.9248554913294798,15.75,-1.0,-1.0,-1.0,-1.0,1.299999999999985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-29,6am,retest,short,12.5,4.666666666666667,0.847457627118644,19.5,-1.0,0.78,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.585,0.39,-1.0,-1.0,-1.0,-1.0,0.75,0.5,0.5
2021-04-29,7am,retest,short,3.5,0.6163522012578616,1.032258064516129,26.75,-1.0,-1.0,-1.0,-1.0,1.2999999999999559,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-29,7am,failure,short,2.25,0.4131147540983607,0.23391812865497075,26.75,-1.0,-1.0,-1.0,-1.0,1.2999999999999559,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-04-30,6am,retest,long,6.0,0.8527918781725888,2.297872340425532,59.0,1.2999999999999519,-1.0,2.0,1.0,1.300000000000004,-1.0,4.0,2.0,-1.0,-1.0,-1.0,1.5,3.0,1.5,0.75,1.5,1.5
2021-04-30,7am,retest,long,22.0,3.5504322766570606,2.5,28.5,1.2999999999999337,0.6477272727272727,2.0,1.0,1.3000000000000416,1.2954545454545454,4.0,2.0,0.48579545454545453,0.32386363636363635,1.5,1.5,1.0,1.5,0.75,0.5,0.5
2021-04-30,7am,failure,long,3.0,0.5714285714285714,4.554455445544555,28.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-03,6am,retest,short,4.75,1.2606635071090047,5.573770491803279,34.25,-1.0,-1.0,-1.0,-1.0,1.2999999999999794,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.5,-1.0,0.5,0.25,-1.0,-1.0
2021-05-03,7am,retest,short,10.0,2.6291079812206575,4.966442953020134,23.5,-1.0,-1.0,-1.0,-1.0,1.2999999999999496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-04,6am,failure,long,3.25,0.7109375,0.1092896174863388,30.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-05,7am,failure,long,0.5,0.07106598984771574,2.2006472491909386,33.0,1.2999999999999141,-1.0,2.0,1.0,1.3000000000000071,-1.0,4.0,2.0,-1.0,-1.0,-1.0,1.5,3.0,1.5,0.75,1.5,1.5
2021-05-06,6am,retest,long,11.25,1.4285714285714286,6.507936507936508,37.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.41388888888888886,-1.0,0.5,0.5,-1.0,0.5,0.25,-1.0,-1.0
2021-05-06,7am,retest,long,4.5,0.7753846153846153,4.675324675324675,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-07,7am,retest,long,8.25,2.8170731707317076,5.656565656565657,17.0,1.3000000000001113,1.0303030303030303,-1.0,1.0,1.2999999999999305,2.0606060606060606,-1.0,2.0,0.25757575757575757,1.5454545454545454,1.5,-1.0,-1.0,-1.0,0.25,1.5,1.5
2021-05-07,7am,failure,short,2.75,0.6062992125984252,1.794871794871795,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-10,6am,retest,short,4.5,0.8181818181818182,3.5294117647058827,26.5,1.299999999999893,2.9444444444444446,2.0,1.0,1.300000000000009,5.888888888888889,4.0,2.0,2.2083333333333335,4.416666666666667,0.5,1.5,3.0,1.5,0.75,1.5,1.5
2021-05-10,6am,retest,long,7.75,1.6377358490566039,2.6035502958579886,26.5,1.299999999999893,-1.0,-1.0,1.0,1.300000000000009,-1.0,-1.0,2.0,0.4274193548387097,-1.0,0.5,0.5,-1.0,0.5,0.25,1.5,1.5
2021-05-10,6am,failure,short,0.5,0.11475409836065575,0.8,26.5,1.299999999999893,-1.0,2.0,1.0,1.300000000000009,-1.0,4.0,2.0,-1.0,-1.0,1.5,1.5,3.0,1.5,0.75,1.5,1.5
2021-05-11,6am,retest,long,12.25,1.5210643015521064,1.4166666666666667,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-11,6am,failure,long,2.5,0.4,1.9047619047619049,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-11,7am,retest,long,9.5,1.303921568627451,0.7868852459016393,71.75,-1.0,-1.0,-1.0,-1.0,1.2999999999999803,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-11,7am,failure,long,4.25,0.5384615384615384,0.8304498269896194,71.75,-1.0,-1.0,-1.0,-1.0,1.2999999999999803,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-12,6am,failure,short,2.25,0.3351063829787234,2.2222222222222223,52.75,1.3000000000000358,11.722222222222221,2.0,1.0,1.2999999999999776,23.444444444444443,4.0,2.0,8.791666666666666,17.583333333333332,1.5,1.5,3.0,1.5,0.75,1.5,1.5
2021-05-12,7am,failure,short,0.25,0.04105571847507331,2.0238095238095237,32.0,-1.0,-1.0,-1.0,-1.0,1.2999999999999927,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-13,6am,failure,short,2.0,0.31728045325779036,0.5102040816326531,42.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-13,7am,retest,short,5.75,0.8049999999999999,3.0034129692832763,130.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8369565217391304,-1.0,1.5,0.5,-1.0,0.5,0.25,-1.0,-1.0
2021-05-14,6am,failure,short,2.25,0.40384615384615385,2.0560747663551404,23.25,1.299999999999878,-1.0,2.0,1.0,1.3000000000000103,-1.0,4.0,2.0,-1.0,-1.0,-1.0,1.5,3.0,1.5,0.75,1.5,1.5
2021-05-14,7am,retest,long,16.25,1.542372881355932,3.392226148409894,32.25,1.300000000000044,0.9923076923076923,-1.0,1.0,1.300000000000044,1.9846153846153847,-1.0,2.0,0.7442307692307693,0.49615384615384617,0.5,-1.0,-1.0,-1.0,0.75,0.5,0.5
2021-05-14,7am,failure,long,5.75,0.5930018416206262,0.5714285714285714,32.25,-1.0,-1.0,-1.0,-1.0,1.300000000000044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2021-05-17,6am,retest,long,8.25,1.7303370786516852,3.595505617977528,21.5,1.300000000000044,1.303030303030303,2.0,1.0,-1.0,-1.0,-1.0,-1.0,0.32575757575757575,0.6515151515151515,0.5,0.5,1.0,0.5,0.25,0.5,0.5
